sample	NI_9	NI_92	NI_91	NI_90	NI_8	NI_89	NI_88	NI_87	NI_86	NI_85	NI_84	NI_83	NI_82	NI_81	NI_80	NI_7	NI_79	NI_78	NI_77	NI_76	NI_75	NI_74	NI_73	NI_72	NI_71	NI_70	NI_6	NI_69	NI_68	NI_67	NI_66	NI_65	NI_64	NI_63	NI_62	NI_61	NI_60	NI_5	NI_59	NI_58	NI_57	NI_56	NI_55	NI_54	NI_53	NI_52	NI_51	NI_50	NI_4	NI_49	NI_48	NI_47	NI_46	NI_45	NI_44	NI_43	NI_42	NI_41	NI_40	NI_3	NI_39	NI_38	NI_37	NI_36	NI_35	NI_34	NI_33	NI_32	NI_31	NI_30	NI_2	NI_29	NI_28	NI_27	NI_26	NI_25	NI_24	NI_23	NI_22	NI_21	NI_20	NI_1	NI_19	NI_18	NI_17	NI_16	NI_15	NI_14	NI_13	NI_12	NI_11	NI_10
Actinomyces_israelii|t__SGB15875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02155	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii|t__SGB15888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_oris|t__SGB15878	0	0	0	0	0	0	0	0	0.00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_ICM47|t__SGB17167	0	0.00668	0	0	0	0	0.00324	0	0.02921	0.00402	0	0	0	0	0	0	0.00271	0.01843	0	0	0	0	0.0094	0	0.00336	0	0.01104	0	0	0.02204	0	0	0	0.00193	0.00449	0.00186	0	0	0.00975	0	0	0	0	0	0	0	0.0007	0	0.00602	0	0	0.00532	0	0.01053	0	0	0	0	0.00313	0.00755	0	0	0.00353	0	0	0	0.00129	0	0.00104	0	0.00201	0.00201	0	0	0	0	0.00083	0.0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024
Actinomyces_sp_ICM58|t__SGB17169	0	0	0	0	0	0	0	0	0.00263	0	0.0029	0	0	0.00273	0	0	0.01058	0.02569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265	0.00126	0	0	0	0	0	0	0.00398	0	0	0.00138	0	0	0	0.00247	0	0	0	0	0	0.00187	0.00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00048	0	0	0	0	0.00085	0	0	0	0	0	0	0	0	0
Schaalia_turicensis|t__SGB17195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trueperella_pyogenes|t__SGB17137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_adolescentis|t__SGB17244	2.91979	3.77276	0.39084	2.94923	0	0.65474	9.58908	7.22601	5.8014	0	2.09163	0.87766	13.23529	0	3.73919	1.55012	2.4767	3.3885	1.74306	2.66835	2.14666	0.93318	1.56723	1.51928	1.86447	4.57741	0.57043	0	0	3.10256	0.87776	0.13409	1.49911	1.93696	3.22303	0.30942	0	0	1.73523	0.27921	0.14611	1.00707	0.661	0	1.79679	2.21722	0	1.18818	0.09329	0	1.16087	0	2.92679	0	0	0	3.04285	0.41005	1.22598	0	0.07194	1.49275	7.81241	0	0.06601	0.68303	0	0	1.4764	0.51222	0.05725	3.03041	2.98539	0.15827	1.54121	0.72541	1.11215	0.419	0	0	2.21514	0	5.69552	1.73649	0	1.85617	0.89457	0	0	0	1.4423	1.65845
Bifidobacterium_angulatum|t__SGB17231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.30322	0	0	0	0	0	0	0	0	0.79752	0	0	0	3.02626	0	0	1.02405	0.45662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_animalis|t__SGB17278	0	0	0	0	0	0.00559	0	0	0	0	0	0	0.00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06904	1.0514	0	0	0	0	0	0	0.03976	0	0.10253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01089	0.00093	0	0	0
Bifidobacterium_bifidum|t__SGB17256	0	0	0	0	0	0	0.60674	0	0.06354	0	0	0	0	0.58839	0.13258	0	0	0	0	0	0	0	0	0	0	1.04209	0.9926	0	0	0	0	0.13875	0.63747	0	0.19369	0.06786	0	0	0.73848	0	0.19778	0.52165	0	0	0	2.36263	0	0.00011	0	0	0.25447	0	0	0	0	0	0	0	0	0	0.25777	0.2437	0	0	0	0	0	0	0.01609	0	0	0	0	0	0	0	0	1.20389	0	0.12331	0	0.74395	1.02264	0	0	0.85126	0	0	0	0	0	0
Bifidobacterium_breve|t__SGB17247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19774	0	0	0	0	0	0	0	0.00272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038	0	0
Bifidobacterium_catenulatum|t__SGB17241	0.05313	0	0	0.56648	0	0	0.01986	0	0.17408	0	0.02416	0	0	0	0	0	0.47928	0.83075	0.10085	0	0	0	0	0.23856	0	0	0	0	0.44289	0.33104	0	0.07687	0.03614	0.5302	0.02985	0	0.27164	0	0.02473	0	0.02449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_dentium|t__SGB17234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_longum|t__SGB17248	0.36385	0.05439	0.152	0.49452	0	2.12991	0.30845	1.56173	2.62465	0.35633	1.09364	0.38137	0.79474	1.05603	0.90529	0	0.38408	0.52488	0.30143	0.77352	1.89369	0.19391	0.17687	1.05591	0.06911	2.49599	0.25359	0.95799	0.49636	2.14255	0.00824	1.18384	0.29345	0.4445	0.78194	0.26946	0.40337	0.11797	0.47519	0.00808	1.31366	0.67828	0.04008	0	1.87158	2.471	0	0.03394	0.94346	0	1.76484	0	0.28546	0	2.22903	0	1.75975	0.06239	0.54041	0.05792	0.19905	3.07601	1.16962	0.2833	0.25748	0.22017	0	0.19656	0.01962	0.32361	0.27728	0.28501	1.20338	0.47775	0.14077	0.05324	0.09886	0.12786	0	0	1.20506	1.34368	11.41033	0.29269	0.26882	0.81872	1.83844	0.0486	3.40458	1.57171	0.11029	0.41334
Bifidobacterium_pseudocatenulatum|t__SGB17237	0.24655	0	0.67958	0.00493	0.2484	0	0	6.13293	1.63945	0	0.01537	0.11073	0	0	0.76748	0.89433	0.11893	0.17946	0.0173	0.30123	0.04862	0	0.01869	0	0	0	0	0	0	0.43457	0	0	0.00786	0	0.13113	0	0.00352	0.9495	0.47212	0.02337	0.35242	0	0	0	0	0.15903	0	0	0	0	0.4943	0	0.25577	0	9.95973	0	0	0	0.00988	0	0.27292	0	0	0	0	0.28318	0	0	0	0.70503	0	0	0	0	0.61975	0	0	0	0	0	0	0	0.06833	0	0.25092	0.04344	0.14372	0.00441	0	1.07101	0	0
Bifidobacterium_ruminantium|t__SGB17243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gardnerella_vaginalis|t__SGB17307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0.00071	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_argentoratense|t__SGB17009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_glutamicum|t__SGB17021	0	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium_SGB53518|t__SGB53518	0	0	0	0	0	0	0	0	0	0	0.06075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00506
Rothia_mucilaginosa|t__SGB16971	0	0.00714	0	0	0	0.00012	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isoptericola_variabilis|t__SGB17153_group	0	0.00463	0	0	0	0	0	0.00244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01276	0	0.00044	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00968	0	0	0	0	0	0	0.00202	0	0	0	0.00287	0	0	0	0	0	0.00549	0	0	0	0	0.00039	0	0	0	0	0.01418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB10022_SGB15896|t__SGB15896	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium_freudenreichii|t__SGB15904	0	0	0	0.01548	0	0	0	0	0	0	0	0	0	0	0	0	0.00766	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01023	0.00199	0	0	0.00475	0	0	0	0	0	0	0	0	0.00115	0	0	0.00267	0	0	0	0	0	0	0	0	0	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB48227_SGB66234|t__SGB66234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB51960_SGB72480|t__SGB72480	0	0	0	0	0	0	0	0	0	0	0.08796	0.02341	0.037	0	0	0	0.02239	0.00481	0	0	0.02397	0.00856	0	0.01737	0.00966	0	0	0	0	0	0	0.01897	0.00042	0.0006	0	0	0	0	0	0	0.00606	0	0.0086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02495	0.01325	0.01625	0.01352	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01051	0	0	0	0	0	0	0	0
GGB18384_SGB72500|t__SGB72500_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03319	0	0	0	0	0	0	0	0
GGB51959_SGB72479|t__SGB72479	0.00416	0	0	0	0	0	0.00709	0	0	0	0	0	0	0	0.0162	0	0	0	0	0.00382	0	0	0	0.0096	0.00278	0.00541	0	0.01879	0	0	0.00882	0	0.02505	0.00356	0.00835	0.0175	0	0.00119	0	0.00341	0	0	0	0	0	0	0	0	0.00166	0	0	0	0.00756	0	0	0	0	0.00985	0.00351	0	0.00099	0	0	0	0.00683	0	0	0	0	0	0.01792	0.01297	0.01883	0	0	0	0	0	0	0	0	0.00227	0.019	0.00359	0	0.00758	0	0	0	0	0	0.02057
Olsenella_provencensis|t__SGB14367	0	0	0	0	0	0	0	0	0	0	0	0.01802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_sp_An188|t__SGB14364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_sp_GAM18|t__SGB14370_group	0	0	0	0.22971	0.00858	0	0.01902	0	0	0.06145	0.06778	0.02171	0.03645	0	0	0	0	0	0.00019	0	0	0.00943	0.00133	0	0	0.17425	0	0	0	0	0	0	0.03467	0.01359	0.0246	0	0	0	0	0.07175	0	0	0.05785	0	0	0.09406	0	0.12092	0	0	0	0	0.01176	0	0	0	0	0.00988	0	0	0	0	0.06139	0	0	0	0	0	0.13125	0.02252	0	0	0	0	0	0	0	0	0.20447	0	0	0	0	0	0	0	0	0	0	0	0	0
Olsenella_timonensis|t__SGB14360	0	0	0	0	0	0	0	0	0	0	0.03678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0
Parolsenella_catena|t__SGB14379	0	0	0	0.13507	0	0	0	0	0	0	0.07357	0	0	0	0	0	0	0	0	0.09302	0	0.11891	0	0	0	0	0	0	0	0	0	0	0	0.07499	0	0	0	0	0	0	0	0	0.21494	0	0	0	0	0.07161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_SGB14754|t__SGB14754	0	0	0	0	0	0	0	0	0	0	0	0.00712	0	0	0	0	0	0	0	0	0.0088	0	0	0	0	0	0	0	0	0	0	0	0.00807	0	0	0	0	0	0	0	0	0.00599	0	0	0.00361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00464	0	0	0	0	0	0
Collinsella_aerofaciens|t__SGB14546_group	0.19782	0	0.21354	3.86359	0.00666	0.08175	0.7245	1.63701	0.71217	0	1.70935	1.85609	1.48413	0	0	0	2.26188	2.5245	0.60242	1.69668	0.98473	1.7125	2.12685	1.57232	1.88881	2.36662	0.90951	0	0.6114	1.38667	0.632	0.143	2.96504	4.05528	1.01614	1.00569	0.45648	0.5336	1.81611	0.31406	1.28597	0	0.92589	0	0.40407	1.6535	0	0.95688	1.71122	0	0.5285	0.07605	1.15666	0	0	0	0.15028	1.00017	0	0	0.41657	2.39112	0.7007	0	0	0.24891	0	0.51978	0.14479	0.38199	0.53731	0.84816	0.10902	0	0.79108	0.14542	0.30137	0.99744	0.14333	0.13382	0.49595	1.50889	0.84804	0.12905	0.2056	0.72516	0.88448	0	0.68665	0	1.15161	0
Collinsella_bouchesdurhonensis|t__SGB14397	0	0	0	0.08598	0	0	0.03392	0	0	0	0.5725	0.02699	0	0	0	0	0	0	0	0.03482	0	0.06754	0.16725	0	0.21246	0	0	0	0	0	0	0	0	0.12116	0	0	0	0.04958	0	0	0	0	0.12204	0	0	0	0	0.11495	0	0	0	0	0	0	0	0	0	0.05466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_sp_AF08_23|t__SGB14739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49476	0	0
Collinsella_stercoris|t__SGB14740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Collinsella_tanakaei|t__SGB14737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195	0.15465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16319	0	0
Collinsella_massiliensis|t__SGB14752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08131	0	0	0	0	0	0	0	0	0.00073	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0.00786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enorma_SGB14753|t__SGB14753	0	0	0	0	0	0	0	0	0	0	0.01482	0.00183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
